level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3299	-1	
2	1	1	0	0	0	357	87	2004	2866	-1	
3	1	1	1	0	0	423	87	1767	436	-1	
4	1	1	1	1	0	609	87	1581	156	-1	
5	1	1	1	1	1	609	87	92	156	92.881546	<
5	1	1	1	1	2	1361	123	284	41	96.797546	COMPONENT
5	1	1	1	1	3	1662	123	323	41	96.155174	MAINTENANCE
5	1	1	1	1	4	2002	124	188	40	96.867432	MANUAL
4	1	1	1	2	0	802	139	1260	105	-1	
5	1	1	1	2	1	802	139	423	105	12.550774	EMBRAER
5	1	1	1	2	2	1359	186	109	39	95.848671	WITH
5	1	1	1	2	3	1487	185	303	41	95.866341	ILLUSTRATED
5	1	1	1	2	4	1808	185	145	41	96.494446	PARTS
5	1	1	1	2	5	1970	185	92	41	96.637810	LIST
4	1	1	1	3	0	1117	316	483	30	-1	
5	1	1	1	3	1	1117	316	176	30	96.410637	RECORD
5	1	1	1	3	2	1308	316	54	30	96.904198	OF
5	1	1	1	3	3	1378	316	222	30	96.218765	REVISIONS
4	1	1	1	4	0	423	492	1701	46	-1	
5	1	1	1	4	1	423	492	51	46	95.601822	No.
5	1	1	1	4	2	631	492	134	46	96.497108	ISSUED
5	1	1	1	4	3	914	492	183	46	96.263077	INSERTED
5	1	1	1	4	4	1450	492	51	46	95.601822	No.
5	1	1	1	4	5	1659	492	133	46	96.699104	ISSUED
5	1	1	1	4	6	1941	496	183	27	96.263077	INSERTED
3	1	1	2	0	0	357	546	2003	2323	-1	
4	1	1	2	1	0	357	546	2003	75	-1	
5	1	1	2	1	1	357	546	976	75	10.032745	0s
4	1	1	2	2	0	357	625	2003	75	-1	
5	1	1	2	2	1	357	625	976	75	10.032745	0s
4	1	1	2	3	0	357	704	2003	76	-1	
5	1	1	2	3	1	357	704	157	76	2.383408	a
5	1	1	2	3	2	546	704	787	76	15.561508	ee
4	1	1	2	4	0	357	783	2003	76	-1	
5	1	1	2	4	1	357	783	157	76	0.000000	a
5	1	1	2	4	2	546	783	787	76	11.721664	ey
4	1	1	2	5	0	357	862	2003	76	-1	
5	1	1	2	5	1	357	862	157	76	0.000000	a
5	1	1	2	5	2	546	862	787	76	11.721664	ey
4	1	1	2	6	0	357	941	2003	76	-1	
5	1	1	2	6	1	357	941	147	76	0.000000	a
4	1	1	2	7	0	357	1021	2003	75	-1	
5	1	1	2	7	1	357	1021	976	75	10.032745	0s
4	1	1	2	8	0	357	1100	2003	75	-1	
5	1	1	2	8	1	357	1100	976	75	10.032745	0s
4	1	1	2	9	0	357	1179	2003	76	-1	
5	1	1	2	9	1	357	1179	147	76	0.512207	a
5	1	1	2	9	2	635	1179	161	76	0.000000	a
4	1	1	2	10	0	357	1259	2003	75	-1	
5	1	1	2	10	1	357	1259	155	75	0.000000	a
5	1	1	2	10	2	546	1259	787	75	11.136581	0s
4	1	1	2	11	0	357	1337	2003	76	-1	
5	1	1	2	11	1	357	1337	157	76	0.000000	a
5	1	1	2	11	2	546	1337	787	76	11.721664	ey
4	1	1	2	12	0	357	1416	2003	76	-1	
5	1	1	2	12	1	357	1416	147	76	0.000000	a
4	1	1	2	13	0	357	1496	2003	75	-1	
5	1	1	2	13	1	357	1496	976	75	10.032745	0s
4	1	1	2	14	0	357	1575	2003	75	-1	
5	1	1	2	14	1	357	1575	976	75	10.032745	0s
4	1	1	2	15	0	357	1654	2003	76	-1	
5	1	1	2	15	1	357	1654	157	76	2.383408	a
5	1	1	2	15	2	546	1654	787	76	15.561508	ee
4	1	1	2	16	0	357	1733	2003	76	-1	
5	1	1	2	16	1	357	1733	157	76	0.000000	a
5	1	1	2	16	2	546	1733	787	76	11.721664	ey
4	1	1	2	17	0	357	1812	2003	76	-1	
5	1	1	2	17	1	357	1812	157	76	0.000000	a
5	1	1	2	17	2	546	1812	787	76	11.721664	ey
4	1	1	2	18	0	357	1891	2003	76	-1	
5	1	1	2	18	1	357	1891	147	76	0.000000	a
4	1	1	2	19	0	357	1971	2003	75	-1	
5	1	1	2	19	1	357	1971	976	75	10.032745	0s
4	1	1	2	20	0	357	2050	2003	75	-1	
5	1	1	2	20	1	357	2050	976	75	10.032745	0s
4	1	1	2	21	0	357	2129	2003	76	-1	
5	1	1	2	21	1	357	2129	157	76	2.383408	a
5	1	1	2	21	2	546	2129	787	76	15.561508	ee
4	1	1	2	22	0	357	2208	2003	76	-1	
