level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3199	4141	-1	
2	1	1	0	0	0	329	51	2631	3974	-1	
3	1	1	1	0	0	446	51	1593	664	-1	
4	1	1	1	1	0	1425	51	560	145	-1	
5	1	1	1	1	1	1425	51	140	145	41.586998	-<
5	1	1	1	1	2	1619	103	366	40	95.432899	EMBRAER
4	1	1	1	2	0	1375	219	664	41	-1	
5	1	1	1	2	1	1375	219	329	41	95.846115	MAINTENANCE
5	1	1	1	2	2	1720	220	193	40	96.644913	MANUAL
5	1	1	1	2	3	1926	220	113	39	96.940384	WITH
4	1	1	1	3	0	1414	282	587	41	-1	
5	1	1	1	3	1	1414	282	310	41	96.643097	ILLUSTRATED
5	1	1	1	3	2	1741	282	148	41	96.333260	PARTS
5	1	1	1	3	3	1906	282	95	41	96.736977	LIST
4	1	1	1	4	0	1507	436	397	42	-1	
5	1	1	1	4	1	1507	436	397	42	96.371788	APPLICABILITY
4	1	1	1	5	0	446	664	1228	51	-1	
5	1	1	1	5	1	446	664	102	40	96.261650	This
5	1	1	1	5	2	569	664	255	51	96.430405	publication
5	1	1	1	5	3	845	674	158	30	96.730331	covers
5	1	1	1	5	4	1020	664	74	40	96.842949	the
5	1	1	1	5	5	1112	664	210	51	96.124237	following
5	1	1	1	5	6	1344	665	90	50	96.347885	part
5	1	1	1	5	7	1454	664	220	40	96.411118	numbers:
3	1	1	2	0	0	329	796	2624	2584	-1	
4	1	1	2	1	0	451	796	2495	39	-1	
5	1	1	2	1	1	451	796	358	39	91.787880	120-36833-001
5	1	1	2	1	2	1135	796	364	39	92.068825	120-36833-003
5	1	1	2	1	3	1807	796	364	39	88.725998	120-36833-005
5	1	1	2	1	4	2589	796	357	39	92.412231	120-36833-501
4	1	1	2	2	0	451	866	2491	39	-1	
5	1	1	2	2	1	451	866	365	39	92.538574	120-36833-503
5	1	1	2	2	2	1135	866	365	39	92.764320	120-36833-507
5	1	1	2	2	3	1807	866	364	39	92.598198	120-36833-509
5	1	1	2	2	4	2589	866	353	39	92.558846	120-36833-511
4	1	1	2	3	0	451	937	2502	39	-1	
5	1	1	2	3	1	451	937	365	39	92.694611	120-36833-513
5	1	1	2	3	2	1135	937	364	39	92.445618	120-36833-515
5	1	1	2	3	3	1807	937	364	39	92.054474	120-36833-517
5	1	1	2	3	4	2589	937	364	39	92.461174	120-36833-519
4	1	1	2	4	0	451	1008	2502	39	-1	
5	1	1	2	4	1	451	1008	358	39	91.924423	120-36834-001
5	1	1	2	4	2	1135	1008	364	39	92.710129	120-36834-003
5	1	1	2	4	3	1807	1008	364	39	89.911797	120-36834-005
5	1	1	2	4	4	2589	1008	364	39	92.651237	120-36834-019
4	1	1	2	5	0	451	1079	2502	39	-1	
5	1	1	2	5	1	451	1079	358	39	91.326866	120-36834-501
5	1	1	2	5	2	1135	1079	364	39	91.854546	120-36834-503
5	1	1	2	5	3	1807	1079	364	39	89.336372	120-36834-505
5	1	1	2	5	4	2589	1079	364	39	92.278595	120-36834-509
4	1	1	2	6	0	451	1149	2502	39	-1	
5	1	1	2	6	1	451	1149	354	39	90.764473	120-36834-511
5	1	1	2	6	2	1135	1149	364	39	92.830154	120-36834-513
5	1	1	2	6	3	1807	1149	364	39	92.011589	120-36834-515
5	1	1	2	6	4	2589	1149	364	39	91.606155	120-36834-517
4	1	1	2	7	0	329	1220	2617	58	-1	
5	1	1	2	7	1	329	1222	23	56	25.137115	B=
5	1	1	2	7	2	451	1220	365	39	25.137115	120-36834-519
5	1	1	2	7	3	1135	1220	365	39	92.324364	120-36834-523
5	1	1	2	7	4	1807	1220	357	39	92.881439	120-36835-001
5	1	1	2	7	5	2589	1220	357	39	92.825432	120-36835-501
4	1	1	2	8	0	451	1291	2502	39	-1	
5	1	1	2	8	1	451	1291	358	39	92.251732	120-41824-001
5	1	1	2	8	2	1135	1291	364	39	90.940903	120-41824-003
5	1	1	2	8	3	1807	1291	364	39	90.238350	120-41824-005
5	1	1	2	8	4	2589	1291	364	39	91.948975	120-41824-007
4	1	1	2	9	0	451	1362	2502	39	-1	
5	1	1	2	9	1	451	1362	365	39	92.140404	120-41824-009
5	1	1	2	9	2	1135	1362	364	39	91.583336	120-41824-217
5	1	1	2	9	3	1807	1362	364	39	92.378265	120-41824-235
5	1	1	2	9	4	2589	1362	364	39	91.854538	120-41824-243
4	1	1	2	10	0	451	1432	2495	39	-1	
5	1	1	2	10	1	451	1432	358	39	90.563576	120-41824-261
5	1	1	2	10	2	1135	1432	364	39	92.313187	120-41824-297
5	1	1	2	10	3	1807	1432	364	39	91.892899	120-41824-343
5	1	1	2	10	4	2589	1432	357	39	91.615669	120-41824-501
4	1	1	2	11	0	451	1503	2502	39	-1	
5	1	1	2	11	1	451	1503	365	39	92.862762	120-41824-503
5	1	1	2	11	2	1135	1503	364	39	91.710983	120-41824-505
5	1	1	2	11	3	1807	1503	364	39	91.599930	120-41824-507
5	1	1	2	11	4	2589	1503	364	39	92.263451	120-41824-509
4	1	1	2	12	0	451	1574	2502	39	-1	
5	1	1	2	12	1	451	1574	358	39	90.862366	120-41825-001
5	1	1	2	12	2	1135	1574	364	39	88.937248	120-41825-003
5	1	1	2	12	3	1807	1574	364	39	89.434608	120-41825-005
5	1	1	2	12	4	2589	1574	364	39	92.118217	120-41825-007
4	1	1	2	13	0	451	1644	2502	39	-1	
5	1	1	2	13	1	451	1644	365	39	92.384819	120-41825-009
5	1	1	2	13	2	1135	1644	364	39	91.609413	120-41825-017
5	1	1	2	13	3	1807	1644	357	39	92.300110	120-41825-501
5	1	1	2	13	4	2589	1644	364	39	92.500603	120-41825-503
4	1	1	2	14	0	451	1715	2502	39	-1	
5	1	1	2	14	1	451	1715	365	39	91.471657	120-41825-505
5	1	1	2	14	2	1135	1715	364	39	92.421257	120-41825-507
5	1	1	2	14	3	1807	1715	364	39	92.243988	120-41825-509
5	1	1	2	14	4	2589	1715	364	39	91.541924	120-41825-517
4	1	1	2	15	0	451	1786	2502	39	-1	
5	1	1	2	15	1	451	1786	365	39	92.551529	120-41825-519
5	1	1	2	15	2	1135	1786	357	39	92.452454	120-41825-521
5	1	1	2	15	3	1807	1786	357	39	92.752220	120-41826-001
5	1	1	2	15	4	2589	1786	364	39	92.134491	120-41826-243
4	1	1	2	16	0	451	1857	2502	39	-1	
5	1	1	2	16	1	451	1857	358	39	89.014656	120-41826-261
5	1	1	2	16	2	1135	1857	357	39	92.878510	120-41826-501
5	1	1	2	16	3	1807	1857	357	39	92.013145	120-41826-521
5	1	1	2	16	4	2589	1857	364	39	92.208115	120-41826-535
