level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3205	4146	-1	
2	1	1	0	0	0	435	56	2531	3948	-1	
3	1	1	1	0	0	439	56	2527	3948	-1	
4	1	1	1	1	0	1425	56	560	146	-1	
5	1	1	1	1	1	1425	56	146	146	57.113590	-<€
5	1	1	1	1	2	1619	108	366	40	96.566917	EMBRAER
4	1	1	1	2	0	1376	224	662	41	-1	
5	1	1	1	2	1	1376	224	328	41	95.930023	MAINTENANCE
5	1	1	1	2	2	1721	225	191	40	95.930023	MANUAL
5	1	1	1	2	3	1926	225	112	39	96.664909	WITH
4	1	1	1	3	0	1419	286	576	41	-1	
5	1	1	1	3	1	1419	286	304	41	96.182808	ILLUSTRATED
5	1	1	1	3	2	1741	286	145	41	96.182808	PARTS
5	1	1	1	3	3	1903	286	92	41	96.976273	LIST
4	1	1	1	4	0	443	402	1595	42	-1	
5	1	1	1	4	1	443	402	257	42	96.302505	CHAPTER
5	1	1	1	4	2	1781	402	257	42	96.302505	CHAPTER
4	1	1	1	5	0	435	471	1587	72	-1	
5	1	1	1	5	1	435	471	252	72	96.532082	SECTION
5	1	1	1	5	2	1777	475	245	50	96.502647	SECTION
4	1	1	1	6	0	435	547	2437	71	-1	
5	1	1	1	6	1	435	547	261	71	96.548851	SUBJECT
5	1	1	1	6	2	1040	547	154	71	96.843155	PAGE
5	1	1	1	6	3	1411	548	152	70	96.841408	DATE
5	1	1	1	6	4	1773	547	261	71	96.548851	SUBJECT
5	1	1	1	6	5	2366	547	154	71	96.818588	PAGE
5	1	1	1	6	6	2729	552	143	48	96.803558	DATE
4	1	1	1	7	0	447	634	2519	52	-1	
5	1	1	1	7	1	447	636	57	39	92.437225	25
5	1	1	1	7	2	522	658	15	5	91.768425	-
5	1	1	1	7	3	556	635	99	40	95.908592	Title
5	1	1	1	7	4	1161	658	15	5	91.769722	-
5	1	1	1	7	5	1394	635	86	51	95.896507	Apr
5	1	1	1	7	6	1501	635	129	40	95.896507	10/06
5	1	1	1	7	7	1783	636	215	39	96.709641	25-21-00
5	1	1	1	7	8	2424	636	87	39	95.873680	607
5	1	1	1	7	9	2721	634	93	52	95.993828	Sep
5	1	1	1	7	10	2834	635	132	40	95.993828	30/98
4	1	1	1	8	0	447	707	2519	52	-1	
5	1	1	1	8	1	447	708	209	40	84.360840	25-LEP
5	1	1	1	8	2	1012	708	18	17	89.985153	*
5	1	1	1	8	3	1154	709	15	39	95.787460	1
5	1	1	1	8	4	1394	708	86	51	95.669739	Apr
5	1	1	1	8	5	1501	708	129	40	95.669739	10/06
5	1	1	1	8	6	1783	709	215	39	96.709641	25-21-00
5	1	1	1	8	7	2424	709	87	39	96.456589	608
5	1	1	1	8	8	2721	707	93	52	95.993828	Sep
5	1	1	1	8	9	2834	708	132	40	95.993828	30/98
4	1	1	1	9	0	447	780	2519	53	-1	
5	1	1	1	9	1	447	782	209	40	84.360840	25-LEP
5	1	1	1	9	2	1012	782	18	17	89.985153	*
5	1	1	1	9	3	1150	783	26	39	96.208344	2
5	1	1	1	9	4	1394	782	86	51	95.669739	Apr
5	1	1	1	9	5	1501	782	129	40	95.669739	10/06
5	1	1	1	9	6	1783	782	215	39	96.776634	25-21-00
5	1	1	1	9	7	2424	782	87	39	96.887917	609
5	1	1	1	9	8	2721	780	93	52	95.993828	Sep
5	1	1	1	9	9	2834	781	132	40	95.993828	30/98
4	1	1	1	10	0	447	854	2519	52	-1	
5	1	1	1	10	1	447	855	209	40	84.360840	25-LEP
5	1	1	1	10	2	1012	855	18	17	89.985153	*
5	1	1	1	10	3	1151	856	25	39	96.643494	3
5	1	1	1	10	4	1394	855	86	51	95.669739	Apr
5	1	1	1	10	5	1501	855	129	40	95.669739	10/06
5	1	1	1	10	6	1783	856	215	39	96.709641	25-21-00
5	1	1	1	10	7	2424	856	87	39	96.665398	610
5	1	1	1	10	8	2721	854	93	52	95.993828	Sep
5	1	1	1	10	9	2834	855	132	40	95.993828	30/98
4	1	1	1	11	0	447	927	2519	52	-1	
5	1	1	1	11	1	447	928	209	40	84.360840	25-LEP
5	1	1	1	11	2	1012	928	18	17	89.985153	*
5	1	1	1	11	3	1149	929	27	39	97.019485	4
5	1	1	1	11	4	1394	928	86	51	95.669739	Apr
5	1	1	1	11	5	1501	928	129	40	95.669739	10/06
5	1	1	1	11	6	1783	929	215	39	96.709641	25-21-00
5	1	1	1	11	7	2428	929	76	39	96.706047	611
5	1	1	1	11	8	2721	927	93	52	95.993828	Sep
5	1	1	1	11	9	2834	928	132	40	95.993828	30/98
4	1	1	1	12	0	447	1000	2519	52	-1	
5	1	1	1	12	1	447	1001	209	40	84.360840	25-LEP
5	1	1	1	12	2	1012	1001	18	17	89.985153	*
5	1	1	1	12	3	1151	1002	25	39	96.758308	5
5	1	1	1	12	4	1394	1001	86	51	95.669739	Apr
5	1	1	1	12	5	1501	1001	129	40	95.669739	10/06
5	1	1	1	12	6	1783	1002	215	39	96.709641	25-21-00
5	1	1	1	12	7	2424	1002	87	39	96.320915	612
5	1	1	1	12	8	2721	1000	93	52	95.993828	Sep
5	1	1	1	12	9	2834	1001	132	40	95.993828	30/98
4	1	1	1	13	0	447	1075	2512	51	-1	
5	1	1	1	13	1	447	1075	209	40	84.360840	25-LEP
5	1	1	1	13	2	1012	1075	18	17	89.985153	*
5	1	1	1	13	3	1150	1076	26	39	96.918404	6
5	1	1	1	13	4	1394	1075	86	51	95.669739	Apr
5	1	1	1	13	5	1501	1075	129	40	95.669739	10/06
5	1	1	1	13	6	1783	1076	215	39	96.709641	25-21-00
5	1	1	1	13	7	2424	1076	87	39	96.306175	613
5	1	1	1	13	8	2729	1075	83	41	96.016228	Jan
5	1	1	1	13	9	2837	1075	122	40	96.541458	15/01
4	1	1	1	14	0	447	1148	2512	51	-1	
5	1	1	1	14	1	447	1148	209	40	84.360840	25-LEP
5	1	1	1	14	2	1012	1148	18	17	89.985153	*
